activity_id,institution_id,source_id,experiment_id,frequency,realm,table_id,member_id,grid_label,variable_id,version_id,time_range,chunk_freq,platform,dimensions,cell_methods,standard_name,path
NA,NOAA-GFDL,GFDL-SPEAR-MED,scenarioSSP5-85,NA,NA,day,r28i1p1f1,gr3,prw,v20210201,20110101-20201231,NA,NA,NA,NA,atmosphere_mass_content_of_water_vapor,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/CMIP/NOAA-GFDL/GFDL-SPEAR-MED/scenarioSSP5-85/r28i1p1f1/day/prw/gr3/v20210201/prw_day_GFDL-SPEAR-MED_scenarioSSP5-85_r28i1p1f1_gr3_20110101-20201231.nc
NA,NOAA-GFDL,GFDL-SPEAR-MED,scenarioSSP5-85,NA,NA,day,r28i1p1f1,gr3,prw,v20210201,20210101-20301231,NA,NA,NA,NA,atmosphere_mass_content_of_water_vapor,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/CMIP/NOAA-GFDL/GFDL-SPEAR-MED/scenarioSSP5-85/r28i1p1f1/day/prw/gr3/v20210201/prw_day_GFDL-SPEAR-MED_scenarioSSP5-85_r28i1p1f1_gr3_20210101-20301231.nc
NA,NOAA-GFDL,GFDL-SPEAR-MED,scenarioSSP5-85,NA,NA,day,r28i1p1f1,gr3,prw,v20210201,20310101-20401231,NA,NA,NA,NA,atmosphere_mass_content_of_water_vapor,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/CMIP/NOAA-GFDL/GFDL-SPEAR-MED/scenarioSSP5-85/r28i1p1f1/day/prw/gr3/v20210201/prw_day_GFDL-SPEAR-MED_scenarioSSP5-85_r28i1p1f1_gr3_20310101-20401231.nc
NA,NOAA-GFDL,GFDL-SPEAR-MED,scenarioSSP5-85,NA,NA,day,r28i1p1f1,gr3,prw,v20210201,20410101-20501231,NA,NA,NA,NA,atmosphere_mass_content_of_water_vapor,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/CMIP/NOAA-GFDL/GFDL-SPEAR-MED/scenarioSSP5-85/r28i1p1f1/day/prw/gr3/v20210201/prw_day_GFDL-SPEAR-MED_scenarioSSP5-85_r28i1p1f1_gr3_20410101-20501231.nc
NA,NOAA-GFDL,GFDL-SPEAR-MED,scenarioSSP5-85,NA,NA,day,r28i1p1f1,gr3,prw,v20210201,20510101-20601231,NA,NA,NA,NA,atmosphere_mass_content_of_water_vapor,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/CMIP/NOAA-GFDL/GFDL-SPEAR-MED/scenarioSSP5-85/r28i1p1f1/day/prw/gr3/v20210201/prw_day_GFDL-SPEAR-MED_scenarioSSP5-85_r28i1p1f1_gr3_20510101-20601231.nc
NA,NOAA-GFDL,GFDL-SPEAR-MED,scenarioSSP5-85,NA,NA,day,r28i1p1f1,gr3,prw,v20210201,20610101-20701231,NA,NA,NA,NA,atmosphere_mass_content_of_water_vapor,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/CMIP/NOAA-GFDL/GFDL-SPEAR-MED/scenarioSSP5-85/r28i1p1f1/day/prw/gr3/v20210201/prw_day_GFDL-SPEAR-MED_scenarioSSP5-85_r28i1p1f1_gr3_20610101-20701231.nc
NA,NOAA-GFDL,GFDL-SPEAR-MED,scenarioSSP5-85,NA,NA,day,r28i1p1f1,gr3,prw,v20210201,20710101-20801231,NA,NA,NA,NA,atmosphere_mass_content_of_water_vapor,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/CMIP/NOAA-GFDL/GFDL-SPEAR-MED/scenarioSSP5-85/r28i1p1f1/day/prw/gr3/v20210201/prw_day_GFDL-SPEAR-MED_scenarioSSP5-85_r28i1p1f1_gr3_20710101-20801231.nc
NA,NOAA-GFDL,GFDL-SPEAR-MED,scenarioSSP5-85,NA,NA,day,r28i1p1f1,gr3,prw,v20210201,20810101-20901231,NA,NA,NA,NA,atmosphere_mass_content_of_water_vapor,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/CMIP/NOAA-GFDL/GFDL-SPEAR-MED/scenarioSSP5-85/r28i1p1f1/day/prw/gr3/v20210201/prw_day_GFDL-SPEAR-MED_scenarioSSP5-85_r28i1p1f1_gr3_20810101-20901231.nc
NA,NOAA-GFDL,GFDL-SPEAR-MED,scenarioSSP5-85,NA,NA,day,r28i1p1f1,gr3,prw,v20210201,20910101-21001231,NA,NA,NA,NA,atmosphere_mass_content_of_water_vapor,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/CMIP/NOAA-GFDL/GFDL-SPEAR-MED/scenarioSSP5-85/r28i1p1f1/day/prw/gr3/v20210201/prw_day_GFDL-SPEAR-MED_scenarioSSP5-85_r28i1p1f1_gr3_20910101-21001231.nc
NA,NOAA-GFDL,GFDL-SPEAR-MED,scenarioSSP5-85,NA,NA,day,r28i1p1f1,gr3,hurs,v20210201,20110101-20201231,NA,NA,NA,NA,relative_humidity,/data/2/GFDL-LARGE-ENSEMBLES/TFTEST/CMIP/NOAA-GFDL/GFDL-SPEAR-MED/scenarioSSP5-85/r28i1p1f1/day/hurs/gr3/v20210201/hurs_day_GFDL-SPEAR-MED_scenarioSSP5-85_r28i1p1f1_gr3_20110101-20201231.nc
